title,rank,date,artist,trend
Touch You,25,1/5/2021,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",MOVE_UP
space girl,26,1/5/2021,Frances Forever,MOVE_DOWN
The Chocolate Conquistadors,27,1/5/2021,"BADBADNOTGOOD, MF DOOM",MOVE_UP
Quicksand,28,1/5/2021,Morray,MOVE_DOWN
"thank u, next",29,1/5/2021,Vitamin String Quartet,NEW_ENTRY
Bertaut,30,1/5/2021,Nadin Amizah,MOVE_DOWN
Peng Black Girls Remix,31,1/5/2021,"ENNY, Jorja Smith",MOVE_DOWN
ALÔ AMBEV - funk remix,32,1/5/2021,DJ Lucas Beat,MOVE_DOWN
At My Worst,33,1/5/2021,Pink Sweat$,MOVE_DOWN
廻廻奇譚,34,1/5/2021,Eve,MOVE_DOWN
Rhymes Like Dimes,35,1/5/2021,"MF DOOM, DJ Cucumber Slice",MOVE_UP
Whoopty,36,1/5/2021,CJ,MOVE_DOWN
Paypal,37,1/5/2021,"Teto Mc, Lucas Corleone",MOVE_DOWN
Seni Dert Etmeler,38,1/5/2021,Madrigal,MOVE_DOWN
E-GIRLS ARE RUINING MY LIFE!,39,1/5/2021,"CORPSE, Savage Ga$p",MOVE_DOWN
Rät,40,1/5/2021,Penelope Scott,SAME_POSITION
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",41,1/5/2021,"Bizarrap, Nathy Peluso",MOVE_DOWN
Mungkin Hari Ini Esok Atau Nanti,42,1/5/2021,Anneth,MOVE_UP
Dance With You,43,1/5/2021,"Skusta Clee, Yuridope",MOVE_DOWN
Amor ou o Litrão,44,1/5/2021,"Petter Ferraz, Menor Nico",MOVE_DOWN
Okay Dokey,45,1/5/2021,"MINO, ZICO",NEW_ENTRY
Makina,46,1/5/2021,UZI,MOVE_DOWN
Si Me Tomo Una Cerveza,47,1/5/2021,"Migrantes, Alico",MOVE_DOWN
Kusura Bakma,48,1/5/2021,Tuğkan,MOVE_DOWN
LOST IN PARADISE,49,1/5/2021,"ALI, AKLO",MOVE_DOWN
Figaro,50,1/5/2021,"Madvillain, Madlib, MF DOOM",NEW_ENTRY
Wildest Dreams,1,1/6/2021,Duomo,NEW_ENTRY
Blue Jeans,2,1/6/2021,GANGGA,MOVE_DOWN
Mmmh,3,1/6/2021,KAI,SAME_POSITION
Your New Boyfriend,4,1/6/2021,Wilbur Soot,MOVE_DOWN
Dicked Down in Dallas,5,1/6/2021,Trey Lewis,MOVE_DOWN
Bir Sebebi Var,6,1/6/2021,İkilem,MOVE_DOWN
Mayonaka no Door / Stay With Me,7,1/6/2021,Miki Matsubara,MOVE_DOWN
Violent,8,1/6/2021,carolesdaughter,MOVE_DOWN
Resah Jadi Luka,9,1/6/2021,Daun Jatuh,MOVE_DOWN
Vete Pal Carajo,10,1/6/2021,"Yan Block, Jay Wheeler, DJ Nelson",SAME_POSITION
Boku no Sensou - TV Size,11,1/6/2021,Shinsei Kamattechan,MOVE_DOWN
Doomsday,12,1/6/2021,"MF DOOM, Pebbles The Invisible Girl",MOVE_DOWN
All Caps,13,1/6/2021,"Madvillain, Madlib, MF DOOM",MOVE_DOWN
Rapp Snitch Knishes,14,1/6/2021,"MF DOOM, Mr Fantastik",SAME_POSITION
Accordion,15,1/6/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Astronaut In The Ocean,16,1/6/2021,Masked Wolf,MOVE_DOWN
Given-Taken,17,1/6/2021,ENHYPEN,SAME_POSITION
Hecha Pa' Mi,18,1/6/2021,Boza,MOVE_DOWN
Hayloft,19,1/6/2021,Mother Mother,MOVE_DOWN
Sensitive,20,1/6/2021,Serena Isioma,MOVE_DOWN
Nega Chegando,21,1/6/2021,"O Boy da Seresta, Menor Nico",MOVE_DOWN
WITHOUT YOU,22,1/6/2021,The Kid LAROI,MOVE_DOWN
L-Gante Rkt,24,1/6/2021,"Papu DJ, L-Gante",MOVE_DOWN
Meia Noite,25,1/6/2021,Tarcísio do Acordeon,MOVE_DOWN
Touch You,26,1/6/2021,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",MOVE_DOWN
space girl,27,1/6/2021,Frances Forever,MOVE_DOWN
The Chocolate Conquistadors,28,1/6/2021,"BADBADNOTGOOD, MF DOOM",MOVE_DOWN
Bertaut,29,1/6/2021,Nadin Amizah,MOVE_UP
"thank u, next",30,1/6/2021,Vitamin String Quartet,MOVE_DOWN
Quicksand,31,1/6/2021,Morray,MOVE_DOWN
RESONANCE,32,1/6/2021,NCT 2020,NEW_ENTRY
Rhymes Like Dimes,33,1/6/2021,"MF DOOM, DJ Cucumber Slice",MOVE_UP
Peng Black Girls Remix,34,1/6/2021,"ENNY, Jorja Smith",MOVE_DOWN
Paypal,35,1/6/2021,"Teto Mc, Lucas Corleone",MOVE_UP
At My Worst,36,1/6/2021,Pink Sweat$,MOVE_DOWN
廻廻奇譚,37,1/6/2021,Eve,MOVE_DOWN
Whoopty,38,1/6/2021,CJ,MOVE_DOWN
E-GIRLS ARE RUINING MY LIFE!,39,1/6/2021,"CORPSE, Savage Ga$p",SAME_POSITION
Seni Dert Etmeler,40,1/6/2021,Madrigal,MOVE_DOWN
Rät,41,1/6/2021,Penelope Scott,MOVE_DOWN
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",42,1/6/2021,"Bizarrap, Nathy Peluso",MOVE_DOWN
Mungkin Hari Ini Esok Atau Nanti,43,1/6/2021,Anneth,MOVE_DOWN
Okay Dokey,44,1/6/2021,"MINO, ZICO",MOVE_UP
Makina,45,1/6/2021,UZI,MOVE_UP
Figaro,46,1/6/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
THAT'S THAT,47,1/6/2021,MF DOOM,NEW_ENTRY
Dance With You,48,1/6/2021,"Skusta Clee, Yuridope",MOVE_DOWN
One Beer,49,1/6/2021,MF DOOM,NEW_ENTRY
LOST IN PARADISE,50,1/6/2021,"ALI, AKLO",MOVE_DOWN
Wildest Dreams,1,1/7/2021,Duomo,SAME_POSITION
Blue Jeans,2,1/7/2021,GANGGA,SAME_POSITION
Mmmh,3,1/7/2021,KAI,SAME_POSITION
Your New Boyfriend,4,1/7/2021,Wilbur Soot,SAME_POSITION
Bir Sebebi Var,5,1/7/2021,İkilem,MOVE_UP
Dicked Down in Dallas,6,1/7/2021,Trey Lewis,MOVE_DOWN
Mayonaka no Door / Stay With Me,7,1/7/2021,Miki Matsubara,SAME_POSITION
Violent,8,1/7/2021,carolesdaughter,SAME_POSITION
Resah Jadi Luka,9,1/7/2021,Daun Jatuh,SAME_POSITION
Vete Pal Carajo,10,1/7/2021,"Yan Block, Jay Wheeler, DJ Nelson",SAME_POSITION
Boku no Sensou - TV Size,11,1/7/2021,Shinsei Kamattechan,SAME_POSITION
Astronaut In The Ocean,12,1/7/2021,Masked Wolf,MOVE_UP
Given-Taken,13,1/7/2021,ENHYPEN,MOVE_UP
Hayloft,14,1/7/2021,Mother Mother,MOVE_UP
Nega Chegando,15,1/7/2021,"O Boy da Seresta, Menor Nico",MOVE_UP
Hecha Pa' Mi,16,1/7/2021,Boza,MOVE_UP
WITHOUT YOU,17,1/7/2021,The Kid LAROI,MOVE_UP
Sensitive,19,1/7/2021,Serena Isioma,MOVE_UP
Rapp Snitch Knishes,20,1/7/2021,"MF DOOM, Mr Fantastik",MOVE_DOWN
Doomsday,21,1/7/2021,"MF DOOM, Pebbles The Invisible Girl",MOVE_DOWN
All Caps,22,1/7/2021,"Madvillain, Madlib, MF DOOM",MOVE_DOWN
L-Gante Rkt,23,1/7/2021,"Papu DJ, L-Gante",MOVE_UP
Touch You,24,1/7/2021,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",MOVE_UP
Meia Noite,25,1/7/2021,Tarcísio do Acordeon,SAME_POSITION
space girl,26,1/7/2021,Frances Forever,MOVE_UP
Accordion,27,1/7/2021,"Madvillain, Madlib, MF DOOM",MOVE_DOWN
"thank u, next",28,1/7/2021,Vitamin String Quartet,MOVE_UP
Bertaut,29,1/7/2021,Nadin Amizah,SAME_POSITION
RESONANCE,30,1/7/2021,NCT 2020,MOVE_UP
Quicksand,31,1/7/2021,Morray,SAME_POSITION
The Chocolate Conquistadors,32,1/7/2021,"BADBADNOTGOOD, MF DOOM",MOVE_DOWN
Paypal,33,1/7/2021,"Teto Mc, Lucas Corleone",MOVE_UP
廻廻奇譚,34,1/7/2021,Eve,MOVE_UP
Whoopty,35,1/7/2021,CJ,MOVE_UP
At My Worst,36,1/7/2021,Pink Sweat$,SAME_POSITION
Peng Black Girls Remix,37,1/7/2021,"ENNY, Jorja Smith",MOVE_DOWN
Seni Dert Etmeler,38,1/7/2021,Madrigal,MOVE_UP
E-GIRLS ARE RUINING MY LIFE!,39,1/7/2021,"CORPSE, Savage Ga$p",SAME_POSITION
Rät,40,1/7/2021,Penelope Scott,MOVE_UP
Okay Dokey,41,1/7/2021,"MINO, ZICO",MOVE_UP
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",42,1/7/2021,"Bizarrap, Nathy Peluso",SAME_POSITION
Makina,43,1/7/2021,UZI,MOVE_UP
Mungkin Hari Ini Esok Atau Nanti,44,1/7/2021,Anneth,MOVE_DOWN
Rhymes Like Dimes,45,1/7/2021,"MF DOOM, DJ Cucumber Slice",MOVE_DOWN
Plastic,46,1/7/2021,Unghetto Mathieu,NEW_ENTRY
Line Without a Hook,47,1/7/2021,Ricky Montgomery,NEW_ENTRY
Dance With You,48,1/7/2021,"Skusta Clee, Yuridope",SAME_POSITION
LOST IN PARADISE,49,1/7/2021,"ALI, AKLO",MOVE_UP
Kusura Bakma,50,1/7/2021,Tuğkan,NEW_ENTRY
Wildest Dreams,1,1/8/2021,Duomo,SAME_POSITION
Blue Jeans,2,1/8/2021,GANGGA,SAME_POSITION
Your New Boyfriend,3,1/8/2021,Wilbur Soot,MOVE_UP
Mmmh,4,1/8/2021,KAI,MOVE_DOWN
Bir Sebebi Var,5,1/8/2021,İkilem,SAME_POSITION
Violent,6,1/8/2021,carolesdaughter,MOVE_UP
